OTU_ID,COLC3,COLC4,COLC5,COLC6,COLC7,COLC8,COLC9,COLC12,COLC14,COLC17,COLC18,COLC19,COLC20,COLC21,COLC23,COLC24,COLC25,COLC26,COA1,COA2,COA3,COA4,COA5,COA6,COA7,COA8,COA9,COA10,COA11,COB1,COB2,COB3,COB4,COB5,COB6,COB7,COB8,COB9,COB10,COB11,COB12,COC1,COC2,COC3,COC4,COC5,COC6,COC7,COC8,COC9,COC10,COC11,COC12,COC13
258904,480.0,741.0,323.0,1068.0,458.0,838.0,803.0,834.0,292.0,663.0,1936.0,1575.0,812.0,1139.0,922.0,618.0,898.0,887.0,1354.0,1119.0,1403.0,1572.0,2240.0,2826.0,2003.0,1049.0,2728.0,1995.0,2060.0,1626.0,899.0,3185.0,2537.0,2063.0,3065.0,1991.0,4071.0,2504.0,2525.0,2047.0,2040.0,2206.0,1697.0,4631.0,2589.0,2958.0,3473.0,2915.0,2697.0,3074.0,3706.0,2923.0,3381.0,3372.0
465660,191.0,179.0,7168.0,1917.0,95.0,938.0,531.0,320.0,206.0,695.0,587.0,997.0,841.0,1332.0,795.0,1028.0,1118.0,1575.0,393.0,407.0,474.0,441.0,780.0,887.0,545.0,412.0,725.0,696.0,606.0,752.0,441.0,958.0,646.0,1056.0,1830.0,691.0,1698.0,947.0,780.0,480.0,702.0,841.0,748.0,1236.0,1284.0,1079.0,1903.0,1249.0,1567.0,1755.0,1748.0,1696.0,1679.0,2005.0
555945,366.0,551.0,202.0,827.0,308.0,578.0,703.0,635.0,225.0,439.0,1436.0,1153.0,565.0,829.0,592.0,454.0,652.0,684.0,909.0,780.0,1008.0,1049.0,1603.0,2095.0,1458.0,799.0,2013.0,1334.0,1547.0,1165.0,686.0,2311.0,1788.0,1438.0,2611.0,1395.0,2836.0,1706.0,2054.0,1386.0,1520.0,1588.0,1137.0,3190.0,1823.0,1985.0,2379.0,2289.0,2079.0,2232.0,2519.0,2125.0,2265.0,2348.0
4329450,2221.0,1571.0,1967.0,3104.0,40.0,64.0,65.0,683.0,61.0,2508.0,2868.0,4101.0,7859.0,1713.0,1410.0,3383.0,1175.0,3832.0,10322.0,8247.0,2857.0,12959.0,4106.0,9215.0,11196.0,4974.0,5787.0,4794.0,2566.0,4660.0,3754.0,5575.0,1511.0,4935.0,4968.0,6004.0,2695.0,3872.0,7360.0,4505.0,7016.0,2556.0,8176.0,2921.0,8872.0,5315.0,6198.0,3064.0,5606.0,10874.0,3229.0,2187.0,3491.0,9404.0
592756,67.0,336.0,1029.0,314.0,75.0,1014.0,2084.0,2845.0,2256.0,193.0,1186.0,287.0,963.0,510.0,827.0,884.0,242.0,1391.0,355.0,348.0,424.0,460.0,657.0,874.0,309.0,416.0,394.0,500.0,393.0,543.0,355.0,611.0,635.0,561.0,947.0,428.0,1480.0,599.0,482.0,367.0,438.0,504.0,429.0,484.0,1128.0,690.0,1024.0,749.0,1023.0,1073.0,1233.0,1111.0,1090.0,1177.0
830095,11171.0,7809.0,5305.0,8391.0,3219.0,2768.0,12286.0,18736.0,4925.0,6559.0,7249.0,1736.0,3602.0,6400.0,7175.0,6588.0,10449.0,9930.0,8236.0,4261.0,4653.0,4505.0,1317.0,4290.0,8776.0,2856.0,11836.0,8970.0,11838.0,3641.0,1865.0,2006.0,773.0,2474.0,656.0,3517.0,419.0,1549.0,2164.0,5118.0,9267.0,952.0,5788.0,487.0,4342.0,172.0,250.0,2318.0,930.0,3268.0,1586.0,931.0,2325.0,4481.0
266756,114.0,299.0,735.0,339.0,8.0,116.0,434.0,98.0,201.0,158.0,245.0,179.0,154.0,352.0,233.0,213.0,283.0,258.0,242.0,171.0,235.0,246.0,276.0,599.0,424.0,297.0,322.0,375.0,328.0,386.0,234.0,828.0,574.0,1071.0,418.0,518.0,1379.0,633.0,384.0,283.0,374.0,403.0,444.0,660.0,549.0,439.0,909.0,773.0,847.0,828.0,833.0,792.0,787.0,880.0
433937,793.0,152.0,405.0,270.0,37.0,62.0,186.0,1058.0,120.0,266.0,244.0,401.0,536.0,259.0,55.0,82.0,197.0,183.0,3187.0,5753.0,6877.0,1214.0,4801.0,4092.0,3731.0,8784.0,419.0,648.0,2427.0,4493.0,12592.0,3539.0,1573.0,9115.0,1089.0,7068.0,3635.0,5003.0,7515.0,3982.0,2908.0,8172.0,6277.0,1680.0,983.0,11462.0,12812.0,2725.0,3143.0,2184.0,3252.0,432.0,4412.0,979.0
123165,5144.0,496.0,316.0,1647.0,6997.0,2625.0,7901.0,311.0,2280.0,426.0,1762.0,10536.0,4013.0,267.0,1649.0,750.0,13138.0,16321.0,4355.0,1416.0,4394.0,505.0,1357.0,510.0,244.0,371.0,448.0,1389.0,187.0,4240.0,1335.0,837.0,202.0,1319.0,1023.0,5673.0,3310.0,3098.0,4263.0,1444.0,3007.0,361.0,557.0,147.0,47.0,136.0,559.0,4367.0,5069.0,231.0,384.0,3579.0,6694.0,247.0
319501,129.0,360.0,1093.0,975.0,295.0,14.0,1395.0,141.0,141.0,218.0,169.0,115.0,631.0,30.0,1545.0,69.0,442.0,359.0,30.0,42.0,7392.0,158.0,44.0,232.0,60.0,113.0,421.0,10466.0,26505.0,301.0,46.0,262.0,37.0,1423.0,161.0,13679.0,401.0,15.0,2313.0,284.0,1491.0,106.0,161.0,456.0,197.0,98.0,446.0,4142.0,425.0,903.0,2371.0,129.0,178.0,1506.0
2272539,91.0,234.0,2360.0,526.0,50.0,422.0,605.0,192.0,139.0,345.0,416.0,569.0,503.0,589.0,404.0,324.0,519.0,733.0,173.0,178.0,245.0,337.0,458.0,520.0,291.0,242.0,626.0,316.0,235.0,269.0,170.0,448.0,303.0,485.0,594.0,238.0,677.0,221.0,305.0,211.0,290.0,323.0,368.0,434.0,459.0,430.0,706.0,321.0,571.0,749.0,677.0,447.0,635.0,690.0
3799781,108.0,244.0,420.0,127.0,45.0,47.0,756.0,50.0,16.0,84.0,43.0,152.0,104.0,300.0,107.0,114.0,134.0,182.0,319.0,326.0,369.0,342.0,411.0,694.0,298.0,377.0,366.0,527.0,418.0,561.0,319.0,657.0,607.0,692.0,687.0,367.0,1056.0,584.0,458.0,293.0,361.0,426.0,469.0,504.0,507.0,609.0,861.0,485.0,712.0,969.0,810.0,611.0,857.0,985.0
1108377,411.0,1466.0,1276.0,608.0,3168.0,2159.0,1514.0,2114.0,513.0,1183.0,1215.0,1360.0,2715.0,1250.0,1065.0,461.0,2248.0,1948.0,122.0,1281.0,1978.0,2049.0,2460.0,2490.0,3258.0,1440.0,3658.0,1420.0,1143.0,2664.0,2954.0,1492.0,373.0,2280.0,1675.0,1716.0,1742.0,1192.0,2244.0,1940.0,2674.0,1463.0,1847.0,1624.0,691.0,1774.0,1195.0,475.0,1234.0,896.0,970.0,485.0,1094.0,649.0
360778,1090.0,1190.0,1433.0,1188.0,878.0,560.0,3215.0,1557.0,166.0,1199.0,940.0,2512.0,1342.0,2506.0,764.0,201.0,1138.0,1194.0,2956.0,234.0,894.0,164.0,1710.0,413.0,642.0,1917.0,2025.0,330.0,221.0,1063.0,2052.0,1849.0,761.0,879.0,2620.0,614.0,689.0,1172.0,250.0,1457.0,421.0,1099.0,3082.0,290.0,935.0,362.0,1437.0,100.0,1060.0,384.0,368.0,504.0,1579.0,553.0
929275,72.0,88.0,116.0,67.0,121.0,62.0,164.0,36.0,14.0,60.0,75.0,88.0,62.0,88.0,56.0,43.0,124.0,117.0,173.0,127.0,145.0,124.0,218.0,280.0,144.0,270.0,164.0,298.0,197.0,277.0,195.0,205.0,145.0,388.0,289.0,231.0,564.0,164.0,177.0,154.0,185.0,204.0,188.0,218.0,165.0,273.0,337.0,173.0,268.0,378.0,323.0,268.0,263.0,333.0
577377,457.0,480.0,303.0,480.0,1027.0,300.0,149.0,744.0,352.0,250.0,824.0,360.0,357.0,1101.0,203.0,50.0,353.0,376.0,916.0,1983.0,3754.0,604.0,3082.0,3572.0,2453.0,3699.0,4424.0,1971.0,1129.0,1482.0,2196.0,1939.0,956.0,2841.0,258.0,3315.0,4871.0,2746.0,3140.0,691.0,2664.0,5445.0,401.0,706.0,235.0,2430.0,1229.0,1015.0,1331.0,2627.0,3201.0,1544.0,265.0,772.0
1147415,58.0,125.0,772.0,261.0,126.0,317.0,450.0,540.0,40.0,192.0,213.0,452.0,615.0,247.0,201.0,313.0,634.0,441.0,156.0,103.0,388.0,328.0,764.0,324.0,204.0,119.0,290.0,156.0,189.0,250.0,125.0,316.0,214.0,374.0,811.0,153.0,711.0,267.0,167.0,142.0,142.0,193.0,150.0,219.0,262.0,241.0,436.0,279.0,393.0,361.0,359.0,294.0,388.0,370.0
355291,227.0,780.0,1381.0,159.0,22.0,13.0,0.0,675.0,334.0,389.0,141.0,155.0,109.0,707.0,85.0,98.0,367.0,1064.0,243.0,1401.0,141.0,1158.0,1340.0,3603.0,1685.0,473.0,1103.0,3285.0,1355.0,183.0,1595.0,2412.0,251.0,3521.0,2408.0,82.0,101.0,1427.0,2262.0,1758.0,3896.0,3427.0,467.0,127.0,1958.0,4218.0,1788.0,55.0,113.0,1398.0,587.0,555.0,1165.0,380.0
